subject_id,redcap_event_name,rabbit_weight,transfusion_date,bld_volume,transf_vol,exclude,exclusion_reason,damp_ld_info,damp_gtt_info,damp_ld_5min,damp_ld_4_hrs,braintissue_vol_5min,braintissue_vol_4hr,total_damp_5min,total_damp_4hr,m_vol_5min,m_vol_4hr,bld_vol_5min,bld_vol_4hr,time,map,bpm,body_temp,ph,pc02,po2,lac,wbc,rbc,hgb,hct,plt,ggt,ast,alt,amy,ldh,crea,bun,glu,tg,r_min,k_min,angle_deg,ma_mm,fluids_and_drugs_data_acredit_complete,baseline_data_complete,baseline_data_c_dbb1_complete,clinical_vitals_complete,abg_complete,cbc_complete,cmp_complete,coagteg_complete
B_B 01,baseline_arm_2,1.88,2023-01-17,52.64,52.64,0,,,,,,,,,,,,,,07:30,90,202,,7,35,72,0,5,5,10,33,35,10,30,70,276,77,0,10,154,108,,,,,2,2,,2,2,2,2,0
B_B 01,eos_arm_2,,,,,,,,,,,,,,,,,,,10:37,64,178,,7,35,93,4,6,3,6,21,132,,,,,,,,,,,,,,,,,2,2,2,0,0
B_B 01,eor_arm_2,,,,,,,,,,,,,,,,,,,10:47,67,174,,7,43,66,3,5,3,7,24,197,7,34,60,224,135,0,15,330,117,,,,,,,,2,2,2,2,0
B_B 01,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:47,72,233,,7,44,69,1,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B_B 01,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:47,73,233,,7,42,65,0,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B_B 01,third_bleed_arm_2,,,,,,,,,,,,,,,,,,,13:47,70,242,,7,39,86,0,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B_B 01,fourth_bleed_arm_2,,,,,,,,,,,,,,,,,,,14:47,70,233,,7,37,71,0,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B_B 01,end_of_bleed_arm_2,,,,,,,,,,,,,,,,,,,14:57,66,230,,7,38,79,0,5,4,8,28,225,9,48,70,258,115,0,14,150,102,,,,,,,,2,2,2,2,0
B_B 01,24h_arm_2,,,,,,,,,,,,,,,,,,,10:47,90,275,,7,33,89,0,8,4,8,26,239,9,38,95,357,265,0,11,140,166,,,,,,,,2,2,2,2,0
B_B 01,48h_arm_2,,,,,,,,,,,,,,,,,,,10:47,88,242,,7,38,31,3,9,4,8,27,273,10,16,76,313,185,0,10,126,122,,,,,,,,2,2,2,2,0
B_B 01,72h_arm_2,,,,,,,,,,,,,,,,,,,10:47,95,245,,7,32,198,3,7,4,9,29,223,8,10,57,296,69,0,11,145,114,,,,,,,,2,2,2,2,0
B_B 01,predeath_arm_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
B-B 02,baseline_arm_2,1.82,2023-01-17,50.96,50.96,0,,,,,,,,,,,,,,07:45,75,260,,7,35,87,1,7,5,11,35,51,9,56,62,265,173,0,11,162,141,,,,,2,2,,2,2,2,2,0
B-B 02,eos_arm_2,,,,,,,,,,,,,,,,,,,10:23,65,256,,7,38,88,7,7,3,6,21,216,,,,,,,,,,,,,,,,,2,2,2,0,0
B-B 02,eor_arm_2,,,,,,,,,,,,,,,,,,,10:33,80,237,,7,39,83,6,8,4,8,26,194,8,52,46,220,158,0,16,323,165,,,,,,,,2,2,2,2,0
B-B 02,first_bleed_arm_2,,,,,,,,,,,,,,,,,,,11:33,52,260,,7,38,81,1,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
B-B 02,second_bleed_arm_2,,,,,,,,,,,,,,,,,,,12:33,51,262,,7,36,82,1,,,,,,,,,,,,,,,,,,,,,,2,2,0,0,0
